key,sheet,row,col,cell_description,confidence,status
ui.res.scrap,04,,,pile of mixed metal offcuts,med,mapped
ui.res.rubble,01,,,loose grey stones,high,mapped
ui.res.girder,04,,,"metal beam, I-section",med,mapped
ui.res.panel,04,,,flat metal sheet,high,mapped
ui.res.composite,04,,,"gold or pale ingot, the second ingot variant",med,mapped
ui.res.glass,04,,,glass pane,high,mapped
ui.res.polymer,04,,,rubber ring or moulded plastic,med,mapped
ui.res.ceramic,01,,,white clay ball,low,mapped
ui.res.rebar,04,,,metal rod and nails,med,mapped
ui.res.wire,04,,,coil of wire,high,mapped
ui.res.circuitry,04,,,green circuit board,high,mapped
ui.res.chip,04,,,microchip,high,mapped
ui.res.mechanism,04,,,gear,high,mapped
ui.res.pipe,04,,,length of pipe,high,mapped
ui.res.cell,08,,,battery,high,mapped
ui.res.fuel,08,,,jerrycan,high,mapped
ui.res.coolant,08,,,pressurised gas canister,med,mapped
ui.res.optic,01,,,magnifying lens,low,mapped
ui.res.fabric,04,,,roll of cloth,high,mapped
ui.res.leather,07,,,tanned hide,high,mapped
ui.res.cord,04,,,coil of rope,high,mapped
ui.res.insulation,04,,,foam block,med,mapped
ui.res.paper,04,,,rolled paper,high,mapped
ui.res.rations,02,,,sealed food packet,high,mapped
ui.res.meal,02,,,bowl of cooked food,high,mapped
ui.res.meal.veg,-,,,"a bowl of cooked vegetables. The food sheet's bowl may serve once the art is judged",-,gap
ui.res.meal.burnt,-,,,"a blackened bowl of food. Our own concept",-,gap
ui.res.protein,02,,,carton or tub,med,mapped
ui.res.meat,07,,,"raw meat slab — the owner's own icon, not sheet 07's cell",high,mapped
ui.res.produce,02,,,carrot and potato,high,mapped
ui.res.wood,-,,,"a short stack of logs, cut ends showing",-,gap
ui.res.stone,-,,,"a few angular grey rocks with fresh broken faces",-,gap
ui.res.ironore,-,,,"dark rock flecked with rust-orange",-,gap
ui.res.coal,-,,,"glossy black lumps",-,gap
ui.res.copperore,-,,,"rock flecked with green and a coppery sheen",-,gap
ui.res.goldore,-,,,"pale rock threaded with gold",-,gap
ui.res.gems,-,,,"two or three rough coloured stones",-,gap
ui.res.emberquartz,-,,,"a warm orange crystal glowing from within. Our own concept",-,gap
ui.res.grain,01,,,wheat sheaf,med,mapped
ui.res.fungus,01,,,cluster of mushrooms,high,mapped
ui.res.stimulant,02,,,coffee cup,med,mapped
ui.res.alcohol,02,,,wine bottle,high,mapped
ui.res.medkit,08,,,first-aid kit,high,mapped
ui.res.medicine,02,,,jar of pills,low,mapped
ui.res.organ,07,,,heart,high,mapped
ui.res.prosthetic,05,,,mechanical hand or fitting,low,mapped
ui.res.bone,07,,,bone,high,mapped
ui.res.tallow,07,,,block of fat,med,mapped
ui.res.plantmatter,01,,,leaves and fern,high,mapped
ui.res.seed,01,,,acorns,med,mapped
ui.res.ammo,08,,,ammunition box,high,mapped
ui.res.credit,08,,,coin,high,mapped
ui.res.relic,08,,,old photographs,med,mapped
ui.res.smokes,08,,,cigarette packet,med,mapped
ui.res.curio,08,,,teddy bear,high,mapped
ui.need.food,07,,,"raw meat slab — the owner's own icon, shared with ui.res.meat",high,shared
ui.need.rest,08,,,"bed — the owner's own icon, not sheet 08's cell",high,mapped
